%time,field.timeTag,field.tagNum,field.range,field.bearing.x,field.bearing.y,field.bearing.z,field.bearing.w
1429052995457864642,2,0,0.8465,0.0,0.0,0.00461303363889,0.999989359904
1429052995457921954,4,1,0.76944,0.0,0.0,-0.0938018951951,0.995590882068
1429052995457960024,6,1,0.76944,0.0,0.0,-0.0938018951951,0.995590882068
1429052995457994352,8,1,0.76944,0.0,0.0,-0.0938018951951,0.995590882068
1429052995458027939,10,1,0.76944,0.0,0.0,-0.0938018951951,0.995590882068
1429052995458063275,12,1,0.76944,0.0,0.0,-0.0938018951951,0.995590882068
1429052995458096613,14,1,0.76944,0.0,0.0,-0.0938018951951,0.995590882068
1429052995458130766,16,1,1.0628,0.0,0.0,0.202294208969,0.979324794446
1429052995458165047,18,2,1.8757,0.0,0.0,0.0123601852588,0.999923609992
1429052995458205610,20,2,1.8757,0.0,0.0,0.0123601852588,0.999923609992
1429052995458239741,22,2,1.8757,0.0,0.0,0.0123601852588,0.999923609992
1429052995458273905,24,2,1.6367,0.0,0.0,0.0222626605973,0.999752156258
1429052995458308401,26,2,1.4492,0.0,0.0,-0.177740584941,0.984077377275
1429052995458342840,28,2,1.6712,0.0,0.0,0.248057918728,0.96874520332
1429052995458380415,30,2,1.8529,0.0,0.0,0.221258727814,0.975215143118
1429052995458420383,32,2,2.1205,0.0,0.0,0.131914390082,0.99126111277
1429052995458453309,34,2,1.8859,0.0,0.0,0.0570589931174,0.99837080852
1429052995458486338,36,2,1.5943,0.0,0.0,-0.0338955061874,0.999425382237
1429052995458518959,38,2,1.3355,0.0,0.0,-0.0608024736791,0.998149818011
1429052995458551876,40,2,0.99518,0.0,0.0,-0.250783950041,0.968043082927
1429052995458584917,42,3,1.875,0.0,0.0,0.169650482728,0.98550429411
1429052995458618046,44,3,1.875,0.0,0.0,0.169650482728,0.98550429411
1429052995458658285,46,3,1.6043,0.0,0.0,0.15164271858,0.988435372648
1429052995458691756,48,3,1.3009,0.0,0.0,0.0332453728507,0.999447219809
1429052995458725201,50,3,1.0315,0.0,0.0,0.0135785827003,0.999907806796
1429052995458758453,52,3,0.78695,0.0,0.0,0.00139084955158,0.999999032768
1429052995458792034,54,3,0.47473,0.0,0.0,-0.0102888184627,0.999947068706
1429052995458826337,56,4,1.4081,0.0,0.0,-0.0241736450082,0.999707774746
1429052995458860169,58,4,1.4081,0.0,0.0,-0.0241736450082,0.999707774746
1429052995458894100,60,4,1.1471,0.0,0.0,-0.0593650753979,0.998236338661
1429052995458927987,62,4,0.88797,0.0,0.0,-0.128642516074,0.991691032055
1429052995458961856,64,1,2.4655,0.0,0.0,0.0804728903649,0.996756797778
1429052995458998318,66,1,2.2136,0.0,0.0,0.0438449400701,0.999038348228
1429052995459035661,68,1,1.9523,0.0,0.0,0.0129546376257,0.999916085161
1429052995459071916,70,5,0.89487,0.0,0.0,-0.247481471456,0.968892626293
1429052995459106381,72,5,0.89487,0.0,0.0,-0.247481471456,0.968892626293
1429052995459140601,74,5,0.89487,0.0,0.0,-0.247481471456,0.968892626293
1429052995459172936,76,5,0.89487,0.0,0.0,-0.247481471456,0.968892626293
1429052995459205431,78,5,0.89487,0.0,0.0,-0.247481471456,0.968892626293
1429052995459238278,80,5,0.89487,0.0,0.0,-0.247481471456,0.968892626293
1429052995459271432,82,0,2.0872,0.0,0.0,0.201407837309,0.979507469635
1429052995459306385,84,0,2.075,0.0,0.0,0.163078377126,0.986613117141
1429052995459339693,86,0,1.8149,0.0,0.0,0.162959982378,0.986632679442
1429052995459373168,88,0,1.5474,0.0,0.0,0.17107435882,0.98525812037
1429052995459406989,90,0,1.2404,0.0,0.0,0.0757673193463,0.997125525357
1429052995459440987,92,1,1.6783,0.0,0.0,-0.186540841199,0.982447207012
1429052995459478468,94,1,1.6783,0.0,0.0,-0.186540841199,0.982447207012
1429052995459512595,96,1,1.6124,0.0,0.0,-0.19331523255,0.981136698358
1429052995459559981,98,1,1.3221,0.0,0.0,-0.224962938953,0.974367320931
1429052995459623501,100,1,0.66063,0.0,0.0,-0.255021559621,0.966935367089
1429052995459670700,102,1,0.66063,0.0,0.0,-0.255021559621,0.966935367089
1429052995459707933,104,2,1.5853,0.0,0.0,-0.224675490809,0.974433642599
1429052995459746430,106,2,1.5853,0.0,0.0,-0.224675490809,0.974433642599
1429052995459783377,108,2,1.5853,0.0,0.0,-0.224675490809,0.974433642599
1429052995459816320,110,2,1.4945,0.0,0.0,-0.238193121774,0.971217811173
1429052995459849238,112,2,0.6817,0.0,0.0,-0.252380879023,0.967627971848
1429052995459881951,114,2,0.6817,0.0,0.0,-0.252380879023,0.967627971848
1429052995459914961,116,2,0.6817,0.0,0.0,-0.252380879023,0.967627971848
1429052995459947550,118,3,2.0171,0.0,0.0,0.244549443428,0.96963682362
1429052995459980298,120,3,1.9894,0.0,0.0,0.180082183491,0.98365156798
1429052995460013126,122,3,1.7308,0.0,0.0,0.182245779396,0.98325300706
1429052995460046884,124,3,1.4651,0.0,0.0,0.180052673863,0.983656970003
1429052995460080261,126,3,1.175,0.0,0.0,0.102459876693,0.994737137976
1429052995460113764,128,3,0.93844,0.0,0.0,0.120759553584,0.992681786988
1429052995460147318,130,3,0.67055,0.0,0.0,0.0894154214769,0.995994418861
1429052995460181178,132,4,1.5084,0.0,0.0,-0.0660069745887,0.997819161625
1429052995460215439,134,4,1.5084,0.0,0.0,-0.0660069745887,0.997819161625
1429052995460249235,136,4,1.5084,0.0,0.0,-0.0660069745887,0.997819161625
1429052995460283302,138,4,1.2062,0.0,0.0,-0.0638415532973,0.997960047333
1429052995460320735,140,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460354843,142,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460392398,144,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460430333,146,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460462970,148,5,1.5033,0.0,0.0,-0.250861392685,0.968023017113
1429052995460495337,150,5,1.5033,0.0,0.0,-0.250861392685,0.968023017113
1429052995460527647,152,5,1.5033,0.0,0.0,-0.250861392685,0.968023017113
1429052995460560102,154,5,0.9907,0.0,0.0,-0.242629084406,0.97011913052
1429052995460592859,156,5,0.96313,0.0,0.0,-0.239222478644,0.970964780881
1429052995460625952,158,5,0.57312,0.0,0.0,-0.223155101558,0.974782950532
1429052995460659513,160,0,2.2289,0.0,0.0,0.124704499259,0.992193926541
1429052995460692778,162,5,0.28722,0.0,0.0,0.0351842366798,0.999380843067
1429052995460727126,164,5,0.53135,0.0,0.0,-2.53704999973e-05,0.999999999678
1429052995460761299,166,0,1.9121,0.0,0.0,-0.258505696938,0.966009733207
1429052995460795396,168,0,1.9121,0.0,0.0,-0.258505696938,0.966009733207
1429052995460829264,170,0,1.9121,0.0,0.0,-0.258505696938,0.966009733207
1429052995460863003,172,0,2.1124,0.0,0.0,-0.241663695926,0.970360066198
1429052995460897283,174,0,2.1124,0.0,0.0,-0.241663695926,0.970360066198
1429052995460931015,176,0,2.1124,0.0,0.0,-0.241663695926,0.970360066198
1429052995460964847,178,1,2.0036,0.0,0.0,0.192648014952,0.981267925867
